host_id,listing_count,host_rank,cumulative_listing_count,cumulative_listing_share_percentage,cumulative_host_share_percentage
48437716,2,255,2531,81.72424927349049,33.46456692913386
218702365,2,256,2533,81.78882789796577,33.59580052493438
224816054,2,257,2535,81.85340652244108,33.727034120734906
44250196,2,258,2537,81.91798514691638,33.85826771653544
543922318,2,259,2539,81.98256377139167,33.98950131233596
38753656,2,260,2541,82.04714239586697,34.120734908136484
538385739,2,261,2543,82.11172102034226,34.25196850393701
576414012,2,262,2545,82.17629964481756,34.38320209973753
578365972,2,263,2547,82.24087826929286,34.51443569553806
525002801,2,264,2549,82.30545689376815,34.645669291338585
12318187,2,265,2551,82.37003551824345,34.7769028871391
681048765,2,266,2553,82.43461414271877,34.90813648293963
685536791,2,267,2555,82.49919276719406,35.039370078740156
683427647,2,268,2557,82.56377139166936,35.170603674540686
5981335,2,269,2559,82.62835001614465,35.30183727034121
5423329,2,270,2561,82.69292864061995,35.43307086614173
47355824,2,271,2563,82.75750726509526,35.56430446194226
657879804,2,272,2565,82.82208588957054,35.69553805774278
667873257,2,273,2567,82.88666451404585,35.826771653543304
677634500,2,274,2569,82.95124313852115,35.958005249343834
142727817,2,275,2571,83.01582176299644,36.08923884514436
9293170,2,276,2573,83.08040038747174,36.22047244094488
9410772,2,277,2575,83.14497901194704,36.351706036745405
9985120,2,278,2577,83.20955763642235,36.48293963254593
681052960,2,279,2579,83.27413626089765,36.61417322834646
681098024,2,280,2581,83.33871488537295,36.74540682414698
12083856,2,281,2583,83.40329350984824,36.876640419947506
52494253,2,282,2585,83.46787213432354,37.00787401574803
682065677,2,283,2587,83.53245075879883,37.13910761154855
682063631,2,284,2589,83.59702938327413,37.270341207349084
681289641,2,285,2591,83.66160800774944,37.40157480314961
696337176,2,286,2593,83.72618663222472,37.53280839895013
155235048,2,287,2595,83.79076525670003,37.664041994750654
47928660,2,288,2597,83.85534388117533,37.79527559055118
142217058,2,289,2599,83.91992250565063,37.9265091863517
682068197,2,290,2601,83.98450113012593,38.05774278215223
4725831,2,291,2603,84.04907975460122,38.188976377952756
4705949,2,292,2605,84.11365837907653,38.320209973753286
119740557,2,293,2607,84.17823700355183,38.4514435695538
160703921,2,294,2609,84.24281562802712,38.582677165354326
66406177,2,295,2611,84.30739425250242,38.71391076115486
682068756,2,296,2613,84.37197287697772,38.84514435695538
682067680,2,297,2615,84.43655150145301,38.976377952755904
682067500,2,298,2617,84.50113012592831,39.107611548556434
685640177,2,299,2619,84.56570875040362,39.23884514435695
69940082,2,300,2621,84.6302873748789,39.37007874015748
69005937,2,301,2623,84.69486599935422,39.501312335958005
4673970,2,302,2625,84.75944462382952,39.63254593175853
128465640,2,303,2627,84.82402324830481,39.76377952755906
124827904,2,304,2629,84.88860187278011,39.89501312335958
719430690,2,305,2631,84.9531804972554,40.0262467191601
124238686,2,306,2633,85.0177591217307,40.15748031496063
2235699,2,307,2635,85.08233774620601,40.28871391076115
726439689,2,308,2637,85.1469163706813,40.419947506561684
726439873,2,309,2639,85.2114949951566,40.55118110236221
228867,2,310,2641,85.2760736196319,40.68241469816273
3234859,2,311,2643,85.34065224410719,40.813648293963254
3437228,2,312,2645,85.4052308685825,40.94488188976378
1689114012561812383,2,313,2647,85.4698094930578,41.0761154855643
719256327,2,314,2649,85.5343881175331,41.20734908136483
3162951,1,315,2650,85.56667742977075,41.338582677165356
3034356,1,316,2651,85.5989667420084,41.46981627296588
2911362,1,317,2652,85.63125605424604,41.6010498687664
2803932,1,318,2653,85.66354536648369,41.732283464566926
2594443,1,319,2654,85.69583467872134,41.86351706036746
2429282,1,320,2655,85.72812399095899,41.99475065616798
2407589,1,321,2656,85.76041330319664,42.125984251968504
2358002,1,322,2657,85.7927026154343,42.25721784776903
2329770,1,323,2658,85.82499192767195,42.38845144356955
706876359,1,324,2659,85.85728123990958,42.51968503937008
696528369,1,325,2660,85.88957055214725,42.650918635170605
4604183,1,326,2661,85.92185986438488,42.78215223097113
4430782,1,327,2662,85.95414917662254,42.91338582677165
4422603,1,328,2663,85.98643848886019,43.044619422572175
4360831,1,329,2664,86.01872780109784,43.1758530183727
4337301,1,330,2665,86.05101711333548,43.30708661417323
87864383,1,331,2666,86.08330642557314,43.43832020997375
87663129,1,332,2667,86.11559573781078,43.569553805774284
87517211,1,333,2668,86.14788505004843,43.7007874015748
86883487,1,334,2669,86.1801743622861,43.832020997375324
86278590,1,335,2670,86.21246367452373,43.963254593175854
84942477,1,336,2671,86.24475298676138,44.09448818897638
84863690,1,337,2672,86.27704229899904,44.2257217847769
84411185,1,338,2673,86.30933161123669,44.35695538057743
83878917,1,339,2674,86.34162092347432,44.48818897637795
83468243,1,340,2675,86.37391023571197,44.61942257217848
82232029,1,341,2676,86.40619954794963,44.750656167979
80852936,1,342,2677,86.43848886018728,44.881889763779526
80444449,1,343,2678,86.47077817242493,45.01312335958006
78727517,1,344,2679,86.50306748466258,45.14435695538058
78364359,1,345,2680,86.53535679690023,45.2755905511811
78357301,1,346,2681,86.56764610913787,45.40682414698163
104729824,1,347,2682,86.59993542137553,45.53805774278215
103692249,1,348,2683,86.63222473361317,45.66929133858268
103401936,1,349,2684,86.66451404585082,45.800524934383205
102007408,1,350,2685,86.69680335808847,45.93175853018373
101940767,1,351,2686,86.72909267032612,46.06299212598425
100474068,1,352,2687,86.76138198256376,46.194225721784775
100179761,1,353,2688,86.79367129480143,46.3254593175853
97397042,1,354,2689,86.82596060703906,46.45669291338583
92678981,1,355,2690,86.85824991927672,46.58792650918635
92626981,1,356,2691,86.89053923151437,46.71916010498688
92266851,1,357,2692,86.92282854375202,46.8503937007874
92189808,1,358,2693,86.95511785598967,46.981627296587924
91481229,1,359,2694,86.98740716822732,47.112860892388454
91224988,1,360,2695,87.01969648046497,47.24409448818898
89725954,1,361,2696,87.05198579270261,47.3753280839895
88877163,1,362,2697,87.08427510494026,47.506561679790025
74074683,1,363,2698,87.11656441717791,47.63779527559055
74054288,1,364,2699,87.14885372941556,47.76902887139108
73166292,1,365,2700,87.18114304165321,47.9002624671916
